0,1,2,3,4
"Hotel the Mitsui Kyoto, a Luxury Collection Hotel & Spa",,,,
Nishimuraya Honkan,,,,
ANA InterContinental Beppu Resort & Spa,,,,
Amanemu,,"For further relaxation head over to the spa, where Thai practices are combined with Japanese customs. Otherwise, laze by the outdoor infinity pool or unwind in the adjacent lounge while tunes are played on a vintage JBL Paragon speaker. During your stay, you’ll have two on-site restaurants to choose from—including the reservation-only Atelier, where French cuisine meets local ingredients—along with an intimate bar with a wraparound balcony overlooking Beppu.",,
"The Ritz-Carlton, Nikko",,"Over in Mie Prefecture, Amanemu is a luxurious ryokan-inspired property with a serene ambiance that sets the tone for a relaxing getaway. Plus, it offers several onsen options. To start, all of the well-appointed and incredibly spacious accommodations feature deep soaking tubs with hot spring water on tap. If you opt for one of the four villas, each one comes with its own separate onsen-style space complete with bathing stations to evoke traditional facilities. (Tip: Tsuki Villa is particularly special, with an onsen area that has both indoor and outdoor tubs.) In addition to the en-suite basins, the spa also has two bookable pavilions that can easily be paired with a treatment of your choice. And if that’s not enough, the pool is also fed with hot spring water. Swimsuits are required since it’s not private, but the beautiful setting—complete with daybeds, a fire pit, lush greenery, and fresh air—is irresistible. While you’re here make sure to also ask the staff to arrange a lunch with an ama. These female free divers scour the ocean for edible jewels like seaweed, lobster, and mollusks and grill their fresh catch in an amagoya hut. The Shima Peninsula is home to Japan’s largest population of ama and it’s the perfect opportunity to learn about this unique, ancient culture.",,
Zaborin,,,,
Hiramatsu Hotels & Resort Kashikojima,,,,
,,"Set on a bluff overlooking Ago Bay, the walls of this intimate hotel are lined with paintings by Yayoi Kusama. After you’ve perused the gallery-esque hallways, you’ll be whisked away to one of the hotel’s eight rooms, which are even split between two buildings. While all of the accommodations sport hot spring–fed bathtubs, the larger rooms in the annex are outfitted with beautiful stone basins that look out to a furnished balcony. And if the view from your in-room oasis isn’t enough, there’s also an open-air onsen at the spa that can be booked for private sessions. While you’re here, make sure to dine at the on-site French restaurant to savor some of the region’s delicacies like Matsusaka beef and an array of seafood such as spiny lobster and abalone.",,
Le Bristol,,"It feels reductive to say a Paris hotel has old-world charm, given nearly every building has a history that dates back a century (or far more). Yet the family-owned Le Bristol, with its fluffy Louis XVI fauteuils, Pierre Fray Fabrics, and resident white Burmese cat Socrate, exudes a Parisian elegance that’s almost all-encompassing. The pièce de résistance? Their garden, where you can enjoy a croque monsieur surrounded by roses and orange trees. —Elise Taylor, senior living writer","Restaurants, bars, pool, café, fitness center, spa, children’s club, bicycle rentals","Address: 112 Rue du Faubourg Saint Honoré, Paris, Paris, 75008"
The Peninsula Paris,,"A stone’s throw away from the Arc de Triomphe in the 16th arrondissement is The Peninsula Paris, housed in the former palace of the exiled Queen Isabella II of Spain. (It later became Hotel Majestic, where George Gershwin wrote An American in Paris, before becoming the Ministry of Defense.) Somehow, the Peninsula has managed to honor its illustrious past while operating a thoroughly modern hotel: one minute, you can gaze out your Beaux-Arts balcony dreaming of Brassai’s Paris At Night, another, you can operate your in-room iPad to submit an array of requests that will be executed within minutes. (I’ve never had a pair of pants pressed faster in my life.) Whenever I hear of friends traveling to Paris for both business and pleasure, I tell them I know just the place. —E.T.","Restaurant, bar, pool, spa, business center","Address: 7 Rue de Castiglione, 75001 Paris, France"
